nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
ASSOCIATION BORDEAUX CULTURE GRAPPLING (ABC GRAPPLING),0.00,Equipements sportifs
ASSOCIATION BORDEAUX GAMES,"3,220.00",
ASSOCIATION BORDEAUX-COMPOSTELLE HOSPITALITE SAINT-JACQUES,"3,000.00",Locaux
ASSOCIATION BORDEAUX-TANESSE,500.00,
ASSOCIATION BORDELAISE DE TAEKWONDO INTERNATIONAL ATLANTICA,0.00,Equipements sportifs
ASSOCIATION BRINS D'EVEIL,"532,800.00",
ASSOCIATION BULGARE CULTURELLE - ABC,0.00,Locaux
ASSOCIATION CLUB AMBASSADORS DE LA TRUFFE,0.00,Matériel pour manifestations
ASSOCIATION COEXISTER,0.00,Locaux
ASSOCIATION COMUNIDAD,0.00,Locaux
ASSOCIATION CONTRE LA TUBERCULOSE ET LES MALADIES ENDEMIQUES - ACTUME,0.00,Locaux
ASSOCIATION COOPERATIVE DES ETUDIANTS EN PHARMACIE DE BORDEAUX - ACEPB,0.00,Matériel pour manifestations
ASSOCIATION CREMATISTE DE LA GIRONDE,0.00,Matériel pour manifestations
ASSOCIATION CULTURE ET MUSIQUE DE L'ESTUAIRE,0.00,Locaux
ASSOCIATION CULTURELLE ARMENIENNE DE BORDEAUX AQUITAINE,0.00,Matériel pour manifestations
ASSOCIATION CULTURELLE DES ALEVIS DE GIRONDE,0.00,Locaux
ASSOCIATION CULTURELLE DES ELEVES DU LYCEE MONTESQUIEU - ACELM,0.00,Locaux
ASSOCIATION CULTURELLE DES KABYLES DE BORDEAUX (ACKB),0.00,"Matériel pour manifestations, locaux"
ASSOCIATION CULTURELLE DU MARCHE DES CHARTRONS,"8,800.00","Matériel pour manifestations, locaux"
ASSOCIATION CULTURELLE ET TRADITIONNELLE DE GIRONDE - ACT 33,"2,700.00","Matériel pour manifestations, locaux"
ASSOCIATION D'AMITIE FRANCO-VIETNAMIENNE (AAFV),0.00,Locaux
"ASSOCIATION DANSE, ANIMATION DE LA GIRONDE - ADAGE",0.00,Matériel pour manifestations
ASSOCIATION DAVID ET JONATHAN,0.00,Locaux
ASSOCIATION DE CARDIOLOGIE D'AQUITAINE,0.00,Matériel pour manifestations
ASSOCIATION DE DEFENSE DES INTERETS DU QUARTIER DE BACALAN - ADIQ,300.00,Locaux
ASSOCIATION DE DEFENSE DES MUSIQUES ALTERNATIVES EN AQUITAINE - ADMAA (ALLEZ LES FILLES),"35,374.00","Communication, matériel pour manifestations"
ASSOCIATION DE DEFENSE DES RESIDENTS DE LA GALERIE (ADREGA),0.00,Locaux
ASSOCIATION DE DEVELOPPEMENT NATUREL (ADN),0.00,Locaux
ASSOCIATION DE FAMILLES DE TRAUMATISES CRANIENS AVENIR - AFTC AVENIR,0.00,"Matériel pour manifestations, locaux"
ASSOCIATION DE GESTION ET D'ANIMATION DES CRECHES C.S.F. (AGEAC/CSF),"522,000.00",
ASSOCIATION DE L'ECOLE COREENNE DE BORDEAUX - AECB,0.00,Locaux
ASSOCIATION DE L'ENSEIGNEMENT CATHOLIQUE DE GIRONDE,0.00,Locaux
ASSOCIATION DE LA FONDATION ETUDIANTE POUR LA VILLE - AFEV,0.00,Locaux
ASSOCIATION DE LA RUE NOTRE DAME DES CHARTRONS,"1,000.00","Matériel pour manifestations, locaux"
ASSOCIATION DE PREFIGURATION D'UNE PLATEFORME D'AQUITAINE POUR LE COMMERCE EQUITABLE (LA PLACE),0.00,"Matériel pour manifestations, locaux"
ASSOCIATION DE RECHERCHE CLINIQUE SUR L'ADOLESCENCE -ARCAD-,0.00,Locaux
ASSOCIATION DE RIVERAINS BAST-ID,0.00,"Matériel pour manifestations, locaux"
ASSOCIATION DE SOLIDARITE AVEC TOUS LES IMMIGRES - BORDEAUX (ASTI BORDEAUX),"5,000.00",Locaux
ASSOCIATION DE SOPHROLOGIE EXISTENTIELLE DE BORDEAUX (ASEB),0.00,Locaux
ASSOCIATION DE SOUTIEN AUX INVENTIONS LIBRES (ASIL),"4,000.00","Matériel pour manifestations, locaux"
"ASSOCIATION DE SPORTS, DE CULTURE ET D'ENTRAIDE DE LA GIRONDE",0.00,Equipements sportifs
ASSOCIATION DECOUVERTE VACANCES EQUILIBRE,0.00,Locaux
ASSOCIATION DEPARTEMENTALE APAJH DE LA GIRONDE,0.00,Locaux
ASSOCIATION DEPARTEMENTALE DE L'OFFICE CENTRAL DE LA COOPERATION A L'ECOLE DE LA GIRONDE - AD-OCCE,400.00,Locaux
ASSOCIATION DEPARTEMENTALE DES ANCIENS COMBATTANTS ET AMIS DE L'INDOCHINE,0.00,Locaux
ASSOCIATION DEPARTEMENTALE DES PARENTS D'ELEVES DE L'ENSEIGNEMENT PUBLIC DE LA GIRONDE - PEEP AD 33,0.00,Locaux
ASSOCIATION DEPARTEMENTALE DES PUPILLES DE L’ENSEIGNEMENT PUBLIC DE LA GIRONDE - PEP 33,0.00,Locaux
ASSOCIATION DEPARTEMENTALE POUR INFORMATION AU LOGEMENT 33 - ADIL33,"3,030.00",
ASSOCIATION DES AMIS D'ELIANE LAVAIL,0.00,Locaux
ASSOCIATION DES BROCANTEURS DES CHARTRONS - ABC,"6,782.00",Matériel pour manifestations
ASSOCIATION DES CENTRES D'ANIMATION DE QUARTIERS DE BORDEAUX - ACAQB,"8,035,091.00","Communication, matériel pour manifestations,"
ASSOCIATION DES CITES DU SECOURS CATHOLIQUE - DELEGATION BORDEAUX,0.00,Locaux
"ASSOCIATION DES COMMERCANTS ""BARRIERE DE PESSAC"" BORDEAUX-TALENCE","4,400.00",
ASSOCIATION DES COMMERCANTS DE CAUDERAN SAINT-AMAND,"10,100.00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS DE LA BARRIERE JUDAIQUE,"4,880.00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS DE LA RUE DES REMPARTS,"3,750.00",
ASSOCIATION DES COMMERCANTS DE LA RUE JJ ROUSSEAU,0.00,
ASSOCIATION DES COMMERCANTS DE LA RUE SAINT-SERNIN,450.00,
ASSOCIATION DES COMMERCANTS DE SAINT-AUGUSTIN,"7,601.00","Matériel pour manifestations, locaux"
ASSOCIATION DES COMMERCANTS DU CENTRE COMMERCIAL MERIADECK,"4,400.00",
ASSOCIATION DES COMMERCANTS DU GRAND PARC,"9,000.00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS ET ARTISANS DU QUARTIER SAINT MICHEL,"4,500.00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS ET ARTISANS LES BERGES DU LAC,"4,000.00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS ET RIVERAINS DU QUARTIER VICTOIRE,"11,000.00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS ORNANO - GAVINIES - ST VICTOR,"3,500.00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS RUE VOLTAIRE,"2,670.00",
ASSOCIATION DES COREENS DE BORDEAUX (ACB),0.00,"Matériel pour manifestations, locaux"
ASSOCIATION DES DAMES DU CALVAIRE DE BORDEAUX - MAISON DE SANTE MARIE GALENE,0.00,Matériel pour manifestations
ASSOCIATION DES DOCKERS ET DES TRAVAILLEURS PORTUAIRES VICTIMES DE L'AMIANTE DU PORT DE BORDEAUX,0.00,Locaux
ASSOCIATION DES DONNEURS DE VOIX,"1,000.00",Locaux
ASSOCIATION DES ECLAIREUSES ET ECLAIREURS DE FRANCE - REGION AQUITAINE,"2,500.00",
ASSOCIATION DES ELEVES-AVOCATS ALIENOR 2017 (ADEAA 2017),0.00,Locaux
ASSOCIATION DES ETUDIANTS ET RESSORTISSANTS MAURITANIENS DE GIRONDE (AERMG),0.00,Locaux
ASSOCIATION DES ETUDIANTS REUNIONNAIS A BORDEAUX - AERB,0.00,Locaux
ASSOCIATION DES EXPLOITANTS QUAI DES MARQUES BORDEAUX,"4,400.00",Matériel pour manifestations
ASSOCIATION DES GUIDES INTERPRETES ET CONFERENCIER D'AQUITAINE - AGICA,0.00,Locaux
ASSOCIATION DES LOCATAIRES SEM-LM,0.00,Locaux
ASSOCIATION DES MEDECINS RETRAITES ET DES VEUVES ALLOCATAIRES DE LA CARMF DITE AMEREVE AQUITAINE,0.00,Locaux
ASSOCIATION DES MUSULMANS DE LA GIRONDE,0.00,Locaux
ASSOCIATION DES OEUVRES GIRONDINES DE PROTECTION DE L'ENFANCE,0.00,Locaux
ASSOCIATION DES OFFICIERS ET CADRES DE RESERVE DE BORDEAUX GIRONDE,0.00,Locaux
ASSOCIATION DES PARALYSES DE FRANCE - APF,"3,200.00",Matériel pour manifestations
ASSOCIATION DES PARENTS ET FUTURS PARENTS GAYS ET LESBIENS APGL,0.00,Locaux
ASSOCIATION DES PIEGEURS DE LA PRESQU'ILE D'AMBES,0.00,Matériel pour manifestations
ASSOCIATION DES PRODUCTEURS DE GRAVES DE VAYRES,0.00,Matériel pour manifestations
ASSOCIATION DES PROFESSIONNELS AQUITAINS DE LA COMMUNICATION (APACOM),0.00,Locaux
ASSOCIATION DES PSYCHOMOTRICIENS DE LA GIRONDE,0.00,Locaux
ASSOCIATION DES RETRAITES IRSEA D'AQUITAINE (ARIA),0.00,"Matériel pour manifestations, locaux"
ASSOCIATION DES RIVERAINS DE L'IMPASSE GOURDIN,"1,000.00",Locaux
ASSOCIATION DES RIVERAINS DU QUARTIER ORNANO-GAVINIES,"1,000.00",Matériel pour manifestations
ASSOCIATION DES RIVERAINS DU QUARTIER SAINT GENES,0.00,Matériel pour manifestations
ASSOCIATION DORSA BARLOW,"7,000.00",
ASSOCIATION DU COMITE DES OEUVRES SOCIALES DES MUNICIPAUX DE BORDEAUX - ACOSMB,"380,000.00",
ASSOCIATION DU FLOCON A LA VAGUE,0.00,Matériel pour manifestations
ASSOCIATION DU LIEN INTERCULTUREL FAMILIAL ET SOCIAL - ALIFS,"28,500.00",Locaux
ASSOCIATION DU PARC D'ACTIVITE DE BORDEAUX NORD,"2,800.00",
ASSOCIATION DU PATRIMOINE ISRAELITE D'AQUITAINE,"5,000.00",
ASSOCIATION DU PERSONNEL DE L'OPERA NATIONAL DE BORDEAUX,0.00,Equipements sportifs
ASSOCIATION DU SOUVENIR DES FUSILLES DE SOUGE,0.00,Matériel pour manifestations
ASSOCIATION EDUCATIVE D'INSERTION SOCIALE (AEIS),0.00,Equipements sportifs
ASSOCIATION EKOLO[GEEK],"1,400.00",
ASSOCIATION ELEVES INGENIEURS ARTS METIERS PARIS-TECH CENTRE REGIONAL BORDEAUX TALENCE - AE ENSAM,0.00,Matériel pour manifestations
ASSOCIATION EMMAUS AQUITAINE BORDEAUX FONDATEUR ABBE PIERRE,"7,000.00",Locaux
ASSOCIATION ESPACE 33,"1,500.00",
