nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
ASSOCIATION DAVID ET JONATHAN,0,Locaux
ASSOCIATION DE CARDIOLOGIE D'AQUITAINE,0,Matériel pour manifestations
ASSOCIATION DE DEFENSE DES RESIDENTS DE LA GALERIE (ADREGA),0,Locaux
ASSOCIATION DE DEVELOPPEMENT NATUREL (A.D.N.),0,Locaux
ASSOCIATION DE FAMILLES DE TRAUMATISES CRANIENS AVENIR - AFTC AVENIR,0,"Locaux, matériel pour manifestations"
ASSOCIATION DE L'AIDE FAMILIALE POPULAIRE - U.D.C.S.F.,0,Locaux
ASSOCIATION DE L'ECOLE COREENNE DE BORDEAUX - AECB,0,Locaux
ASSOCIATION DE LA FONDATION ETUDIANTE POUR LA VILLE - AFEV,0,Locaux
ASSOCIATION DE LOCATAIRES SEM-LM,0,Locaux
ASSOCIATION DE MEDECINE PHYSIQUE ET READAPTATION D'AQUITAINE (AMPRA),0,Locaux
ASSOCIATION DE PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE SAINT-MICHEL/SAINT-GENES,0,Locaux
ASSOCIATION DE PATIENTS POUR PREVENTION TRAITEMENT LUTTE CONTRE MALADIE CHRONIQUE L'OBESITE (ALOA),0,Locaux
ASSOCIATION DE PREFIGURATION DE LA COOPERATIVE DE PRESTATAIRES RESPONSABLES SUD-OUEST,0,Locaux
ASSOCIATION DE PREFIGURATION D’UNE PLATEFORME D’AQUITAINE POUR LE COMMERCE EQUITABLE (LA PLACE),0,Locaux
ASSOCIATION DE RIVERAINS BASTIDE-ID,0,Locaux
ASSOCIATION DE SOLIDARITE BORDEAUX,0,Locaux
ASSOCIATION DE SOPHROLOGIE EXISTENTIELLE DE BORDEAUX,0,Locaux
ASSOCIATION DEPART. AMIS ET PARENTS DE PERS. HANDICAPEES MENTALES - LES PAPILLONS BLANCS (ADAPEI),0,Matériel pour manifestations
ASSOCIATION DEPARTEMENTALE APAJH DE LA GIRONDE,0,Locaux
ASSOCIATION DEPARTEMENTALE DE L'OFFICE CENTRAL DE LA COOPERATION A L'ECOLE DE LA GIRONDE - AD-OCCE,0,Locaux
ASSOCIATION DEPARTEMENTALE DES CONJOINTS SURVIVANTS ET PARENTS D'ORPHELINS DE LA GIRONDE - FAVEC 33,0,Locaux
ASSOCIATION DEPARTEMENTALE DES PARENTS D'ELEVES DE L'ENSEIGNEMENT PUBLIC DE LA GIRONDE - PEEP AD 33,0,Locaux
ASSOCIATION DES AMIS D'ELIANE LAVAIL,0,Locaux
ASSOCIATION DES CITES DU SECOURS CATHOLIQUE - DELEGATION BORDEAUX,0,Locaux
ASSOCIATION DES COMMERCANTS BORDEAUX RIVE DROITE (BRD),0,Locaux
ASSOCIATION DES COMMERCANTS CAUDERAN CENTRE,0,Matériel pour manifestations
ASSOCIATION DES COMMERCANTS ET ARTISANS DU QUARTIER SAINT MICHEL,0,"Locaux, matériel pour manifestations"
ASSOCIATION DES COMMERCANTS ET ARTISANS DU QUARTIER STEHELIN,0,Matériel pour manifestations
ASSOCIATION DES COMMERCANTS ET PROFESSIONNELS DE L'ART DE LA RUE BOUFFARD,0,Matériel pour manifestations
ASSOCIATION DES COREENS DE BORDEAUX (ACB),0,"Locaux, matériel pour manifestations"
ASSOCIATION DES DAMES DU CALVAIRE DE BORDEAUX - MAISON DE SANTE MARIE GALENE,0,Locaux
ASSOCIATION DES DONNEURS DE VOIX,0,Locaux
ASSOCIATION DES ELEVES AVOCATS ALIENOR 2015 - ADEAA,0,Locaux
ASSOCIATION DES ELEVES INGENIEURS DE L'ECOLE NATIONALE SUPERIEURE DES ARTS ET METIERS - AE ENSAM,0,Matériel pour manifestations
ASSOCIATION DES ELEVES-AVOCATS ALIENOR 2016,0,Locaux
ASSOCIATION DES ETUDIANTS EN PSYCHOLOGIE DU TRAVAIL ET ERGONOMIE DES SYSTEMES,0,Locaux
ASSOCIATION DES ETUDIANTS REUNIONNAIS A BORDEAUX - AERB,0,Locaux
ASSOCIATION DES FAMILLES D'ENFANTS DE LA POSTE ET D'ORANGE - AFEH,0,Locaux
ASSOCIATION DES GROUPES BIBLIQUES ET UNIVERSITAIRES DE FRANCE - AGBUF-GBU,0,Locaux
ASSOCIATION DES GUIDES INTERPRETES ET CONFERENCIERS D'AQUITAINE - AGICA,0,Locaux
ASSOCIATION DES MAIRES DE LA GIRONDE,0,Matériel pour manifestations
ASSOCIATION DES MUSULMANS DE BORDEAUX NORD (A.M.B.N.),0,Matériel pour manifestations
ASSOCIATION DES MUSULMANS DE LA GIRONDE,0,Locaux
ASSOCIATION DES PARENTS D'ELEVES DE L'ENSEIGNEMENT PUBLIC DU LYCEE CAMILLE JULLIAN,0,Locaux
ASSOCIATION DES PROFESSIONNELS AQUITAINS DE LA COMMUNICATION (APACOM),0,Locaux
ASSOCIATION DES PSYCHOMOTRICIENS DE LA GIRONDE,0,Locaux
ASSOCIATION DES RESIDENCES DE L'ILOT BONNAC,0,Locaux
ASSOCIATION DES RETRAITES IRSEA D'AQUITAINE (A.R.I.A.).,0,"Locaux, matériel pour manifestations"
ASSOCIATION DES RIVERAINS DE LA PLACE MITCHELL,0,Matériel pour manifestations
ASSOCIATION DES RIVERAINS DU QUARTIER ORNANO-GAVINIES,0,Matériel pour manifestations
ASSOCIATION DES STAGIAIRES ET ETUDIANTS CAMEROUNAIS DE BORDEAUX (ASECB),0,Locaux
ASSOCIATION DES ŒUVRES GIRONDINES DE PROTECTION DE L'ENFANCE,0,Locaux
ASSOCIATION DU PERSONNEL DE L'OPERA NATIONAL DE BORDEAUX,0,"Locaux, équipements sportifs"
ASSOCIATION DU SOUVENIR DES FUSILLES DE SOUGE,0,"Locaux, matériel pour manifestations"
ASSOCIATION DU VELO TOUTES VIGNES (AVTV),0,Matériel pour manifestations
ASSOCIATION ECOPOLES,0,Locaux
ASSOCIATION EDUCATIVE D'INSERTION SOCIALE (AEIS),0,Locaux
ASSOCIATION EMMAUS GIRONDE,0,Matériel pour manifestations
ASSOCIATION ETUDIANTE CULTURELLE BOIS DE ROSE,0,Locaux
ASSOCIATION FAMILIALE CATHOLIQUE BORDEAUX SAINTE-EULALIE VICTOIRE,0,Matériel pour manifestations
ASSOCIATION FORMATION ET EDUCATION PERMANENTE DE TIVOLI - AFEPT,0,Locaux
ASSOCIATION FRANCAISE DE PERSONNES SOUFFRANT DE TROUBLES OBSESSIONNELS COMPULSIFS AFTOC,0,Locaux
ASSOCIATION FRANCAISE DES FUNDRAISERS - GROUPE AQUITAINE,0,Locaux
ASSOCIATION FRANCO-BRESILIENNE POUR LA RECHERCHE DE L'EQUILIBRE - AFBRE,0,Equipements sportifs
ASSOCIATION FRANCO-KURDE,0,Equipements sportifs
ASSOCIATION France - UKRAINE,0,Locaux
ASSOCIATION GENERALE DES LOCATAIRES,0,Locaux
ASSOCIATION GENERALE INTERVENANTS RETRAITES POUR ACTIONS BENEVOLES DE COOPERATION ET DEVELOPPEMENT,0,Locaux
ASSOCIATION GIRONDINE DES ACTIVITES PROTEGEES - SPORT - LOISIRS (AGAP - SPORT - LOISIRS),0,Equipements sportifs
ASSOCIATION GOLF D'ENTREPRISES INTER-ENTREPRISES GOLF DE BORDEAUX - IEGB,0,Locaux
"ASSOCIATION INTERNATIONALE POUR LA CULTURE, LE DEVELOPPEMENT ET LA PAIX (AICDP)",0,Locaux
ASSOCIATION INTERPROFESSIONNELLE BIO REGIONALE (AQUITAINE/LIMOUSIN/POITOU-CHARENTES OU EQUIVALENT),0,Matériel pour manifestations
ASSOCIATION JEUNESSE FUTSAL (A.J.F.),0,Equipements sportifs
ASSOCIATION LE MERLE MOQUEUR,0,"Locaux, matériel pour manifestations"
ASSOCIATION LEA - UNIVERSITE BORDEAUX MONTAIGNE,0,Locaux
ASSOCIATION MALADIE CHRONIQUE SPORT BIEN ETRE,0,Locaux
ASSOCIATION MALINE,0,Locaux
ASSOCIATION MARIE DE LUZE,0,Locaux
ASSOCIATION MUSICALARUE,0,Matériel pour manifestations
ASSOCIATION NATIONALE DES ANCIENS ET AMIS DE L'INDOCHINE ET DU SOUVENIR INDOCHINOIS,0,Locaux
ASSOCIATION NATIONALE DES RETRAITES DE LA POSTE ET DE France TELECOM,0,Locaux
ASSOCIATION NATIONALE DES RETRAITES HOSPITALIERS,0,Locaux
ASSOCIATION NATIONALE POUR LES ENFANTS INTELLECTUELLEMENT PRECOCES DE L'AQUITAINE - ANPEIP,0,Locaux
ASSOCIATION PAROLE BEGAIEMENT - APB - DELEGATION DEPARTEMENTALE,0,Locaux
ASSOCIATION POUR L'ENTRAIDE CONTRE LA RECHUTE DE DEPRESSION - AERD,0,Locaux
ASSOCIATION POUR L'ENVIRONNEMENT ET LA SECURITE EN AQUITAINE - APESA,0,Locaux
ASSOCIATION POUR L'UNIFICATION DU DROIT DES AFFAIRES EN EUROPE (AUDE),0,Locaux
ASSOCIATION POUR LA DEFENSE DE LA FAMILLE ET DE L'INDIVIDU (ADFI),0,Locaux
ASSOCIATION POUR LA PROMOTION DES ARTISTES ET CULTURES DU MONDE APAC,0,Matériel pour manifestations
ASSOCIATION POUR LA RECHERCHE CLINIQUE DE BORDEAUX NORD - ARCBN,0,Locaux
ASSOCIATION POUR LA SURVEILLANCE DE LA QUALITE DE L'AIR EN AQUITAINE - AIRAQ,0,Locaux
ASSOCIATION POUR LA VALORISATION EN RELATION AVEC LES PROFESSIONNELS REGION AQUITAINE,0,Locaux
ASSOCIATION POUR LE DEVELOPPEMENT DES ACTIVITES PHYSIQUES ADAPTEES - ADAPA,0,Matériel pour manifestations
ASSOCIATION POUR LE DEVELOPPEMENT L'INSERTION ET L'ACCOMPAGNEMENT PERSONNES HANDICAPEES - ADIAPH,0,Locaux
ASSOCIATION POUR LE DON DE SANG BENEVOLE DE BORDEAUX ET ENVIRONS,0,Locaux
ASSOCIATION POUR LE DROIT A L'INITIATIVE ECONOMIQUE - ADIE,0,Matériel pour manifestations
ASSOCIATION POUR LES FOUILLES ARCHEOLOGIQUES NATIONALES - AFAN,0,Locaux
ASSOCIATION PSYCHANALYTIQUE DES THERAPEUTES FAMILIAUX D'AQUITAINE - APSYFA,0,Locaux
ASSOCIATION RENOVATION,0,"Locaux, équipements sportifs"
ASSOCIATION RUN FEMINA TOUR,0,Matériel pour manifestations
ASSOCIATION SOCIALE POUR L'EMPLOI - ASPE,0,Locaux
ASSOCIATION SOCIO CULTURELLE DE L'ECOLE DE REEDUCATION PROFESSIONNELLE - ASCERP,0,Locaux
ASSOCIATION SOCIO CULTURELLE LE TAYTA,0,Locaux
ASSOCIATION SOLIDARTE EMPLOI (ASE) - ADELPHE,0,Locaux
ASSOCIATION SPORTIVE BANQUE POPULAIRE DU SUD-OUEST,0,Equipements sportifs
ASSOCIATION SPORTIVE COLBERT ASC,0,Equipements sportifs
ASSOCIATION SPORTIVE CULTURELLE DU GAN (ASC GAN),0,Equipements sportifs
ASSOCIATION SPORTIVE DE LA POLICE JUDICIAIRE DE BORDEAUX,0,Equipements sportifs
ASSOCIATION SPORTIVE DES ANCIENS ET AMIS DE L'ECOLE NORMALE D'INSTITUTEURS (ASAAENI),0,Equipements sportifs
ASSOCIATION SPORTIVE ET CULTURELLE DE MAYOTTE,0,Equipements sportifs
ASSOCIATION SPORTIVE FC PORTO DE BORDEAUX,0,Equipements sportifs
ASSOCIATION SPORTIVE KASHIRA AIKIDO,0,Equipements sportifs
ASSOCIATION SPORTIVE KUNG-FU WUSHU DE BACALAN,0,"Equipements sportifs, matériel pour manifestations"
ASSOCIATION SPORTIVE LOVENTA AUTOMATIQUE,0,Equipements sportifs
ASSOCIATION SPORTIVE SALINIERES,0,Equipements sportifs
ASSOCIATION TERRITOIRES ET INNOVATION SOCIALE (ATIS),0,Locaux
ASSOCIATION THEATR'ACTIF,0,Locaux
ASSOCIATION VENEZUELA A BORDEAUX,0,Locaux
ASSOENCORE,0,"Locaux, matériel pour manifestations"
ATELIER 14 CENTRE DE PRATIQUES ARTISTIQUES ET DE RECHERCHES CHOREGRAPHIQUES,0,Matériel pour manifestations
ATELIER D’ASTROLOGIE D’AQUITAINE,0,Locaux
ATELIER VOCAL D'AQUITAINE,0,Locaux
ATELIERS LIBRES D'AQUITAINE,0,Locaux
ATELIERS TLC,0,Locaux
ATLANTIC OLDTIMER.COM,0,Matériel pour manifestations
AU-DELA DES DUNES,0,Locaux
AUDITION ET ECOUTE 33 - ASSOCIATION DES PERSONNES ATTEINTES DE PATHOLOGIE AUDITIVE DE LA GIRONDE,0,Locaux
AUDITION SOLIDAIRE FRANCE SENEGAL,0,Locaux
BASTIDE EN SCENES,0,Matériel pour manifestations
BELLIBULLE,0,Matériel pour manifestations
BENEVOLES EN ACTION,0,Locaux
BIBLIOTHECA,0,Locaux
BIEN-ETRE & BONHEUR DE VIVRE - BBV,0,Locaux
BIO D'AQUITAINE,0,Locaux
BIO'GUSTIN,0,Locaux
BOK DIEUF,0,Locaux
BORD'EAUX LOISIR PECHE,0,Matériel pour manifestations
BORDEAUX AQUITAINE AERONAUTIQUE ET SPATIAL,0,Locaux
BORDEAUX BACKGAMMON CLUB,0,Locaux
BORDEAUX CAUDERAN BRIDGE CLUB (BCBC),0,Locaux
BORDEAUX DANCE'IN CLUB ,0,"Locaux, équipements sportifs, matériel pour"
BORDEAUX DEMAIN,0,Locaux
BORDEAUX FUTSAL CLUB,0,Locaux
BORDEAUX INTER CHALLENGE - BIC,0,Locaux
BORDEAUX MAYOTTE 101,0,Equipements sportifs
BORDEAUX NIHONGO HOSHU JUGYOKO (ECOLE COMPLEMENTAIRE JAPONAISE DE BORDEAUX),0,"Locaux, matériel pour manifestations"
BORDEAUX PALMES AVENTURE,0,Equipements sportifs
BORDEAUX SPORTS,0,Communication
BORDEAUX TEATRO ITALIANO BTI,0,"Locaux, matériel pour manifestations"
BORDEAUX WOMEN'S CLUB,0,Locaux
BORDEAUX Y NOV CAMPUS,0,Equipements sportifs
BORDELAIS ASSOCIATIFS FALUCHARDS,0,Locaux
BOULEVARD DES POTES,0,"Locaux, matériel pour manifestations"
BOXING CLUB BACALANAIS,0,"Locaux, équipements sportifs"
BRASS BAND BORGIAQ,0,Matériel pour manifestations
BURDIGALA CORPORATION,0,Matériel pour manifestations
BURDIGALA SAVATE-CLUB,0,Equipements sportifs
C.F.A. - CENTRE DE FORMATION ADAGE,0,Locaux
C.O.D. FORMATION (FORMASUP CAMPUS),0,Matériel pour manifestations
CAC33,0,Locaux
CAHIERS D'ARCHIVES,0,Locaux
CALICONTE,0,Locaux
CANCER SUPPORT FRANCE BORDEAUX & REGION (CSF BORDEAUX & REGION),0,Locaux
CAP AND CO,0,Equipements sportifs
"CAP CARREIRE : CULTURES, ANIMATIONS ET PARTAGES",0,Matériel pour manifestations
CAP DE VIE,0,Locaux
CARABINS DE BORDEAUX,0,Matériel pour manifestations
CDISCOUNT@SPORT,0,Equipements sportifs
CENTRE ATLANTIC,0,Locaux
CENTRE CULTUREL TURC DE BORDEAUX ET SES ENVIRONS,0,Equipements sportifs
CENTRE D'ETUDES DE L'AUTO CONNAISSANCE,0,Locaux
CENTRE D'INFORMATION METAPSYCHIQUE - CDIM,0,Locaux
"CENTRE DE LIAISON DES EQUIPES DE RECHERCHE, CLER AMOUR ET FAMILLES",0,Locaux
CENTRE DE MUSICOTHERAPIE DE LA GIRONDE,0,Locaux
CENTRE DE RECHERCHE ET D'INFORMATION POUR LE DEVELOPPEMENT - CRID,0,Locaux
CENTRE DE SOPHROLOGIE DYNAMIQUE DE BORDEAUX,0,Locaux
CENTRE DES ETUDES DE LA REPUBLIQUE DEMOCRATIQUE,0,Locaux
CENTRE DES FESTIVALS FRANCE-RUSSIE,0,"Locaux, matériel pour manifestations"
CENTRE ENTREPRISE COMMUNICATION AVANCEE - CECA,0,Matériel pour manifestations
CENTRE REGIONAL D'AQUITAINE D'ETUDES ET D'ACTIONS SUR LES HANDICAPS ET LES INADAPTATIONS - CREAHI,0,Locaux
CERCLE BORDELAIS DE SANTE (C.B.S.),0,Locaux
CERCLE D'AIDE A LA VIE PAR LA VOIE SPIRITUELLE-FRANCE,0,Locaux
CERCLE D'ETUDES RUSSES,0,Locaux
CERCLE DES COIFFEURS CREATEURS,0,Locaux
CERCLE DES ESCRIMEURS BORDELAIS (CEB),0,Locaux
CERCLE JEAN BAPTISTE LYNCH,0,Locaux
CERCLE OENOPHILE AQUITAIN,0,Locaux
CERCLE PHILATELIQUE BORDEAUX AQUITAINE,0,Locaux
CERCLE POLITEIA,0,Locaux
CERCLE POLITZER,0,Locaux
CHAMBRE PROFESSIONNELLE DES AGENTS COMMERCIAUX DU SUD-OUEST,0,Locaux
CHEMIN DES ETOILES - CDE,0,Matériel pour manifestations
CHEMINS DE VIES,0,Locaux
CHEVRE FOOTBALL CLUB - CFC,0,Equipements sportifs
CINERESEAUX,0,Locaux
CLAC,0,Locaux
CLAIR-OBSCUR,0,Locaux
CLUB 41 FRANCAIS BORDEAUX N° 110,0,Locaux
CLUB 89,0,Locaux
CLUB AFRIQUE EN PERSPECTIVES,0,Locaux
CLUB AMICAL CHAUFFOUR,0,Equipements sportifs
CLUB ATHLETIQUE DU PORT AUTONOME DE BORDEAUX,0,Equipements sportifs
CLUB BORDEAUX-CAMEROUN-FRANCE,0,Locaux
"CLUB BORDELAIS DU CHOCOLAT ""CHOCO PASSION""",0,Locaux
CLUB BOULISTE ALBERT 1er,0,"Locaux, matériel pour manifestations"
CLUB D'ENTREPRISES BORDEAUX EURATLANTIQUE,0,Matériel pour manifestations
CLUB D'EXPLORATION SOUS MARINE D'AQUITAINE - CESMA,0,"Equipements sportifs, matériel pour manifestations"
CLUB D'ULTIMATE DE BORDEAUX - 33 TOURS,0,Matériel pour manifestations
CLUB DE CANNE ET BATON D'AQUITAINE,0,Equipements sportifs
CLUB DE LA PRESSE DE BORDEAUX,0,"Locaux, matériel pour manifestations"
CLUB DES RANDONNEURS DU PYLA ET DU BASSIN D'ARCACHON,0,Locaux
CLUB ERASMUS ET MUNDUS,0,Locaux
CLUB INDEPENDANT BORDELAIS,0,Locaux
CLUB PHILOSOPHIQUE PENSEE ET AVENIR,0,Locaux
CLUB « BON GOUT D'AQUITAINE »,0,Communication
"COJEP BORDEAUX - CONSEIL POUR LA JUSTICE, L'EGALITE ET LA PAIX",0,Locaux
COLIBRI 33,0,Locaux
COLLECTIF 33 : LA SANTE UN DROIT POUR TOUS,0,Locaux
COLLECTIF DES ASSOCIATIONS D'OUTRE-MER EN AQUITAINE DIT C.A.O.M.A.,0,Matériel pour manifestations
COLLECTIF GIRONDIN DES ASSOCIATIONS AUTOUR DE L'AUTISME (CG3A),0,Locaux
COLORS INC,0,Locaux
COMENFRANCE,0,Locaux
COMITE ACTION PALESTINE,0,Locaux
COMITE AQUITAIN DE L'ASSOCIATION FRANCAISE DES HEMOPHILES,0,Locaux
COMITE BORDEAUX BRISTOL,0,"Locaux, matériel pour manifestations"
COMITE BORDEAUX SUD,0,Locaux
"COMITE D'ANIMATION, DE BIENFAISANCE ET DE DEFENSE DES INTERETS DU QUARTIER NANSOUTY",0,"Locaux, équipements sportifs, matériel pour"
COMITE DE DEFENSE DES INTERETS DES HABITANTS DU LOTISSEMENT JASMIN ET ANNEXES,0,Matériel pour manifestations
COMITE DE DEFENSE DES TAXIS DE LA GIRONDE,0,Locaux
COMITE DE LIAISON DES ACTEURS DE LA PROMOTION DANS LE SUD-OUEST - CLAP SUD-OUEST,0,Locaux
COMITE DE QUARTIER DE CAUDERAN - CQC,0,"Locaux, équipements sportifs"
COMITE DEPARTEMENTAL DE CYCLISME,0,Matériel pour manifestations
COMITE DEPARTEMENTAL DE L'UNION FRANÇAISE DES OEUVRES LAIQUES D'EDUCATION PHYSIQUE - UFOLEP,0,Equipements sportifs
COMITE DEPARTEMENTAL DE L'UNION SPORTIVE DE L'ENSEIGNEMENT DU PREMIER DEGRE DE LA GIRONDE - USEP 33,0,Equipements sportifs
COMITE DEPARTEMENTAL DE NATATION DE LA GIRONDE,0,Matériel pour manifestations
COMITE DEPARTEMENTAL DU SPORT ADAPTE DE LA GIRONDE (CDSA 33),0,Equipements sportifs
COMITE GIRONDIN DE COURSE D'ORIENTATION,0,Matériel pour manifestations
COMITE MIRABEAU BORDELAIS 2017,0,Locaux
COMITE PALESTINE 33,0,"Locaux, matériel pour manifestations"
COMITE REGIONAL DES ASSOCIATIONS DE JEUNESSE ET D'EDUCATION POPULAIRE AQUITAINE (CRAJEP AQUITAINE),0,Locaux
COMITE REGIONAL HANDISPORT D'AQUITAINE,0,Locaux
COMITE REPRESENTATIF DES IDENTITES SOURDES,0,"Locaux, matériel pour manifestations"
COMMANDERIE DU BONTEMPS MEDOC ET GRAVES - SAUTERNES ET BARSAC,0,Matériel pour manifestations
COMMUNAUTE CAMEROUNAISE DE BORDEAUX (CCB),0,Locaux
COMMUNIC'ARTE,0,Locaux
COMPAGNIE DONC Y CHOCS,0,"Locaux, matériel pour manifestations"
COMPAGNIE ELVIRE 40,0,Locaux
COMPAGNIE EN APARTE,0,Locaux
COMPAGNIE INDIRA,0,Locaux
COMPAGNIE JEUNE TALENT,0,Locaux
COMPAGNIE LEITMOTIV,0,"Locaux, matériel pour manifestations"
COMPAGNIE REVOLUTION,0,Locaux
COMPETENCES EN TEMPS PARTAGE GUYENNE - CTP GUYENNE,0,Locaux
COMPTOIR DE LA CULTURE BRESILIENNE,0,Locaux
CONSEIL DEPARTEMENTAL DE LA GIRONDE,0,Equipements sportifs
CONVENTION DE LA DIASPORA GABONAISE,0,Locaux
COORDINATION POUR PROMOUVOIR LES COMPETENCES ET LE VOLONTARIAT AQUITAINE - CPCV AQUITAINE,0,Locaux
COULEUR COREE,0,Locaux
CREASSEMBLE,0,Locaux
CRESUS GIRONDE,0,Locaux
CRISTINAREY,0,Locaux
CROISSANT FERTILE,0,"Locaux, matériel pour manifestations"
CROIX ROUGE FRANÇAISE - DELEGATION LOCALE,0,Locaux
CTE ETS SEXTANT AVIONIQUE,0,Equipements sportifs
CULTURE ET BIBLIOTHEQUES POUR TOUS,0,Locaux
CULTURE-S,0,Matériel pour manifestations
CULTURES DES ARTS CREOLES ET DU MONDE 33 (CACM33),0,Locaux
D'SIGN,0,Locaux
DE VOLTES ET D'ASSAUTS,0,Locaux
DEALERS DE SCIENCE,0,Locaux
"DEFENSE DE LA LANGUE FRANCAISE, ASSOCIATION DE BORDEAUX",0,Locaux
DHAGPO BORDEAUX,0,Locaux
DISCO SOUPE,0,Matériel pour manifestations
DIVAN D'OUEST,0,Locaux
DIVERSCITES,0,Locaux
DLIBERETS,0,Locaux
DOJO,0,"Equipements sportifs, matériel pour manifestations"
DOULEURS SANS FRONTIERES - DSF,0,Locaux
DRAG RACING TEAM - DRT,0,Matériel pour manifestations
DU CHIEN DANS LES DENTS,0,Locaux
DU SOLEIL DANS LES PIEDS,0,Matériel pour manifestations
DULCENE,0,"Locaux, matériel pour manifestations"
DV2G (THEATRE VICTOIRE),0,Matériel pour manifestations
ECHIQUIER BORDELAIS,0,Matériel pour manifestations
ECOLE CHINOISE DE BORDEAUX,0,Locaux
ECOLE DES GRANDS-PARENTS EUROPEENS BORDEAUX-GIRONDE - EGPE BORDEAUX-GIRONDE,0,Locaux
ECOLE ESSENTIALISTE,0,Locaux
ECOLE MUNICIPALE DE NATATION,0,Equipements sportifs
ECOUTE S'IL PLEUT,0,Locaux
ECOUTER SON CORPS,0,"Locaux, équipements sportifs"
EINAI,0,Locaux
ELLES CONNECT,0,Locaux
EN MARCHE,0,Locaux
ENDOFRANCE,0,Locaux
ENFANCE ET FAMILLES D'ADOPTION DE LA GIRONDE - ASSOCIATION DES FOYERS ADOPTIFS DE GIRONDE (EFA 33),0,Locaux
ENSEMBLE OSKAR ALBERTO,0,Locaux
ENSEMBLE UN,0,"Locaux, matériel pour manifestations"
ENSEMBLE VOCAL JUBILATE,0,Locaux
ENTRAIDE SCOLAIRE AMICALE (ESA),0,Locaux
ESCAPADES 33,0,Locaux
ESKUALDUNEN BILTZARRA - BORDELEKO ESKUAL ETXEA ou MAISON BASQUE DE BORDEAUX,0,"Equipements sportifs, matériel pour manifestations"
ESPACE DECOUVERTE MADAGASCAR,0,Locaux
ESPACE INTER HANDICAP EUROPEEN A HAUTEUR D'HOMME,0,Locaux
ESPACES MARX AQUITAINE BORDEAUX GIRONDE EXPLORER CONFRONTER INNOVER,0,Locaux
ESPOIR 33,0,Locaux
ESPRIT ETUDIANT-MONTESQUIEU,0,Matériel pour manifestations
ESSPLICITE,0,Locaux
ETUDIANTS MUSULMANS DE FRANCE BORDEAUX - EMF BORDEAUX,0,Locaux
"EUROPEAN MENTORING & COACHING COUNCIL, L'ASSOCIATION EUROPEENNE DE COACHING",0,Locaux
EXPLORER LE SENTIR,0,Locaux
FAIS UN VOEU MAKE-A -WISH ® FRANCE,0,Locaux
FAIT DE CI DE SOI,0,Matériel pour manifestations
FC CARTES ET SERVICES,0,Equipements sportifs
FEDERATION ADDICTION,0,Locaux
FEDERATION ADMR GIRONDE,0,Locaux
FEDERATION DE LA GIRONDE POUR LA PECHE ET LA PROTECTION MILIEU AQUATIQUE (FDAAPPMA DE LA GIRONDE),0,Locaux
FEDERATION DE PSYCHANALYSE CONTEMPORAINE - FPC,0,Locaux
FEDERATION DEPARTEMENTALE DU SECOURS POPULAIRE FRANCAIS,0,"Locaux, matériel pour manifestations"
FEDERATION DES DESIGNERS EN AQUITAINE (FDA),0,Locaux
FEDERATION DES MANDATAIRES JUDICIAIRES INDEPENDANTS A PROTECTION MAJEURS AQUITAINE (FMJI AQUITAINE),0,Locaux
FEDERATION FRANCAISE DE NATATION,0,Matériel pour manifestations
FEDERATION FRANCAISE DES PSYCHOLOGUES ET DE PSYCHOLOGIE - FFPP,0,Locaux
FEDERATION GIRONDINE DE GENEALOGIE - FGG,0,Locaux
FEDERATION MUSULMANE DE LA GIRONDE,0,Matériel pour manifestations
FEDERATION NATIONALE D'AIDE AUX INSUFFISANTS RENAUX D'AQUITAINE - FNAIR AQUITANE,0,Locaux
FEDERATION NATIONALE DES SERVICES SOCIAUX SPECIALISES DE PROTECTION DE L'ENFANCE - FN3S,0,Locaux
FEDERATION POUR LA RECHERCHE SUR LE CERVEAU - CAMPAGNE DU NEURODON 2004,0,Locaux
FEDERATION REGIONALE DES DECORES DU TRAVAIL NOUVELLE-AQUITAINE (FRDT),0,"Locaux, matériel pour manifestations"
FEDERATION SYNDICALE UNITAIRE 33 - FSU 33,0,Matériel pour manifestations
FEMMES INTERNATIONALES MURS BRISES,0,"Locaux, matériel pour manifestations"
FISH AND SHOES,0,Locaux
FITNESS FREESTYLE,0,Locaux
FOIRE AUX PLAISIRS DE BORDEAUX,0,Matériel pour manifestations
FONDA SUD-OUEST,0,Locaux
FONDATION DU PATRIMOINE - DELEGATION AQUITAINE,0,Matériel pour manifestations
FONDATION MAISON DE LA GENDARMERIE,0,Locaux
FOOT LOISIRS DOCKERS DE BORDEAUX,0,"Locaux, équipements sportifs"
FOOTBALL CLUB DE LA PRESSE BORDELAISE,0,Equipements sportifs
FOOTBALL-CLUB BORDEAUX OCEAN,0,Equipements sportifs
FOOTBALL-CLUB ROUGE,0,Equipements sportifs
FORCE FEMMES,0,Locaux
FORRO BORDEAUX,0,Locaux
FORUM DES CULTURES ET DES TRADITIONS,0,Locaux
FOYER SOCIO-EDUCATIF DU COLLEGE ALAIN FOURNIER,0,Locaux
FRANCE ALZHEIMER GIRONDE,0,Locaux
FRANCE AMERIQUE LATINE COMITE BORDEAUX GIRONDE,0,Locaux
FRANCE PLUS GIRONDE,0,Locaux
FRANCE PSORIASIS,0,Locaux
France PARKINSON,0,Locaux
