datepublication;nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBénéficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPériodeVersement;idRAE;notificationUE;pourcentageSubvention;date_deb;date_fin;objet_reuse;montant_reuse
2021-12-20;BORDEAUX METROPOLE;24330031600011.0;2021-10-27;2020/139;OXYGENE;40097769000033.0;Plan pauvreté ALADDIN;800;aide en numéraire;unique;2021-10-27/2022-04-27;sans objet;non;1.00;2021-10-27;;Autre objet;Inférieur à 30 000€
2021-12-20;BORDEAUX METROPOLE;24330031600011.0;2021-10-25;2021/505;IFAID;33884976300036.0;Soutien au dispositif local d'accompagnement;20000;aide en numéraire;échelonné;2021-10-25/2022-04-25;sans objet;non;1.00;2021-10-25;;Autre objet;Inférieur à 30 000€
2021-12-20;BORDEAUX METROPOLE;24330031600011.0;2021-07-08;2021/138;ALEC;49500944100033.0;Ma rénov Bordeaux Métropole;60000;aide en numéraire;échelonné;2021-07-08/2022-01-08;sans objet;non;1.00;2021-07-08;;Autre objet;Entre 30 000€ et 100 000€
2021-12-20;BORDEAUX METROPOLE;24330031600011.0;2021-12-01;2021/706;MAISON DE L'EUROPE;51779186900012.0;Fonctionnement;43000;aide en numéraire;échelonné;2021-12-01/2022-06-01;sans objet;non;1.00;2021-12-01;;Fonctionnement;Entre 30 000€ et 100 000€
2021-12-20;BORDEAUX METROPOLE;24330031600011.0;2021-10-04;2021-551;ASLAV;51950160500017.0;Action solidarité internationale eau;20000;aide en numéraire;échelonné;2021-10-04/2022-04-04;sans objet;non;1.00;2021-10-04;;Autre objet;Inférieur à 30 000€
2021-12-20;BORDEAUX METROPOLE;24330031600011.0;2021-10-04;2021-551;POMPIERS SOLIDAIRES;53280194100032.0;Action solidarité internationale eau;40000;aide en numéraire;échelonné;2021-10-04/2022-04-04;sans objet;non;1.00;2021-10-04;;Autre objet;Entre 30 000€ et 100 000€
2021-12-20;BORDEAUX METROPOLE;24330031600011.0;2021-11-25;2020-556;FONDATION COS ALEXANDRE GLASBERG;77565757000377.0;Foyer Quancard;40000;aide en numéraire;unique;2021-11-25/2022-05-25;sans objet;non;1.00;2021-11-25;;Autre objet;Entre 30 000€ et 100 000€
2022-03-04;BORDEAUX METROPOLE;24330031600011.0;2021-12-17;2021/617;ETU'RECUP;80127165100029.0;Soutien aux étudiants dans la précarité;7500;aide en numéraire;unique;2021-12-17/2022-06-17;sans objet;non;1.00;2021-12-17;;Autre objet;Inférieur à 30 000€
2022-03-04;BORDEAUX METROPOLE;24330031600011.0;2021-12-22;2021/655;EMMAUS AQUITAINE;39949552200019.0;Subvention de fonctionnement;30000;aide en numéraire;échelonné;2021-12-22/2022-06-22;sans objet;non;1.00;2021-12-22;;Autre objet;Inférieur à 30 000€
2022-03-04;BORDEAUX METROPOLE;24330031600011.0;2021-12-13;2021/696;SOCIETE D'ENCOURAGEMENT DE BORDEAUX;78184354500026.0;Investissement : travaux de modernisation;229227;aide en numéraire;échelonné;2021-12-13/2022-06-13;sans objet;non;1.00;2021-12-13;;Autre objet;Entre 100 000€ et 500 000€
