ARC EN REVE,"481 688,00","Communication, matériel pour manifestations, locaux"
ARC'ANGECIEL VOYAGES,"0,00",Locaux
ARCH-EVENT,"0,00",Matériel pour manifestations
ARCHIMUSE - BORDEAUX,"800,00","Matériel pour manifestations, locaux"
ARCHITECTURE ET MAITRE D'OUVRAGES AQUITAINE - AMO,"0,00",Locaux
AQUITAINE,,
ARELABOR,"0,00",Locaux
ART DN,"0,00","Matériel pour manifestations, locaux"
ART EN ACTION - TIC-TAC THEATRE,"0,00",Locaux
ART ET TECHNIQUES MIXTES,"0,00",Locaux
ART PASTEL,"0,00",Matériel pour manifestations
ART+ENTREPRISE/ARRET SUR L'IMAGE GALERIE,"6 000,00",
ARTAMBUL,"0,00",Matériel pour manifestations
ARTELI,"3 000,00",
ARTELIERS - ASSO REGION. TRAVAIL EXPRESSION LIBRE,"0,00","Matériel pour manifestations, locaux"
INADAPTES POUR EPANOUISSEMENT RECONNAISS. SOCIALE,,
ARTIMAGE,"0,00",Locaux
ARTISANS DU MONDE BORDEAUX,"0,00","Matériel pour manifestations, locaux"
ARTQUIPAGE,"0,00",Matériel pour manifestations
ARTS ET COMMUNICATION DU MONDE - ACM,"0,00","Matériel pour manifestations, locaux"
ARTS ET LETTRES DE FRANCE ASSOCIATION CULTURELLE,"0,00","Matériel pour manifestations, locaux"
INTERNATIONALE,,
ARTS ET SCIENCES,"0,00",Locaux
ARTS MARTIAUX ET BIEN ETRE,"0,00",Equipements sportifs
ARTS MARTIAUX SHAOLIN BORDEAUX,"700,00",Equipements sportifs
ARTS MARTIAUX TRADITIONNELS BORDELAIS,"0,00",Equipements sportifs
ARTYCHAUDS,"0,00",Locaux
ASC BNP PARIBAS BX TT,"0,00",Equipements sportifs
ASOBU ASSOCIATION (ASOBU),"0,00",Locaux
ASPER 33,"0,00",Locaux
ASS-TECH (ASSOCIATION DES ETUDIANTS DE TECHNIQUES DU,"1 410,00",Locaux
DEVELOPPEMENT),,
ASSIETTE EN TRANSITION,"300,00","Matériel pour manifestations, locaux"
ASSO GAMBETTA,"1 728,00",Communication
ASSO GENERALE INTERVENANTS RETRAITES POUR ACTIONS,"0,00",Locaux
BENEVOLES COOPERATION ET DEVELOPPEMENT - AGIRabcd,,
ASSO PARENTS ELEVES ENSEIGNEMENT LIBRE,"0,00",Locaux
SAINT-MICHEL/SAINT-GENES (APEL SAINT-MICHEL/SAINT-GENES),,
ASSOCIATION 2C.SPORTS,"0,00",Equipements sportifs
ASSOCIATION ACCORDS LIBRES,"0,00",Matériel pour manifestations
ASSOCIATION ALBERT BARRAUD,"1 000,00",
ASSOCIATION ALCHIMIST,"16 000,00",Matériel pour manifestations
ASSOCIATION AUDITEURS INSTITUT HAUTES ETUDES DE DEFENSE,"800,00",Locaux
NATIONALE REGION AQUITAINE - AQUI IHEDN,,
ASSOCIATION AUTONOME DES PARENTS D'ELEVES DE BORDEAUX :,"2 500,00",
ECOLES JEAN COCTEAU,,
ASSOCIATION BI-IZARRAK (LES DEUX ETOILES),"0,00",Locaux
ASSOCIATION BORDEAUX - USA,"0,00",Matériel pour manifestations
ASSOCIATION BORDEAUX CULTURE GRAPPLING (ABC GRAPPLING),"0,00",Equipements sportifs
ASSOCIATION BORDEAUX GAMES,"3 220,00",
ASSOCIATION BORDEAUX-COMPOSTELLE HOSPITALITE,"3 000,00",Locaux
SAINT-JACQUES,,
ASSOCIATION BORDEAUX-TANESSE,"500,00",
ASSOCIATION BORDELAISE DE TAEKWONDO INTERNATIONAL,"0,00",Equipements sportifs
ATLANTICA,,
ASSOCIATION BRINS D'EVEIL,"532 800,00",
ASSOCIATION BULGARE CULTURELLE - ABC,"0,00",Locaux
ASSOCIATION CLUB AMBASSADORS DE LA TRUFFE,"0,00",Matériel pour manifestations
ASSOCIATION COEXISTER,"0,00",Locaux
ASSOCIATION COMUNIDAD,"0,00",Locaux
ASSOCIATION CONTRE LA TUBERCULOSE ET LES MALADIES,"0,00",Locaux
ENDEMIQUES - ACTUME,,
ASSOCIATION COOPERATIVE DES ETUDIANTS EN PHARMACIE DE,"0,00",Matériel pour manifestations
BORDEAUX - ACEPB,,
ASSOCIATION CREMATISTE DE LA GIRONDE,"0,00",Matériel pour manifestations
ASSOCIATION CULTURE ET MUSIQUE DE L'ESTUAIRE,"0,00",Locaux
