web-scraper-start-url,nom,description,adresse,code postal,telephone,president,site web,categorie
https://assos.bordeaux.fr/association/detail/1352,REPAIR CAFÉ BORDEAUX,"Organisation d'ateliers d'aide à la réparation des objets du quotidien par des réparateurs bénévoles. Petit électro-ménager, ordinateurs, appareils électriques, téléphones, vêtements... (pas de gros électro ménager ni de four micro ondes)
Les Repair Cafés ont lieu en partenariat avec un lieu d'accueil différent chaque mois.",32 rue Marcelin Berthelot                                                                                                ,33200,00 00 00 00 00,null,repair-cafe-bordeaux.org,Cadre de vie environnement
https://assos.bordeaux.fr/association/detail/1606,ANIM'GINKO,"Mener à bien des projets communs valorisant la qualité de vie du quartier et l’activité de l’ensemble des adhérents.
Créer du lien. Participer à l’aménagement local. 
Fédérer les commerçants des berges du lac : développer et promouvoir l’activité commerciale du quartier.","17/19 place Jean Cayrol                                 Boulangerie ""Secrets de pains""                                                                                                             ",33300,06 78 89 45 50,null,,"Vivre ensemble, vie quotidienne"
https://assos.bordeaux.fr/association/detail/1136,COMMUNAUTÉ CAMEROUNAISE DE BORDEAUX  - CCB,,pas d'adresse,,,null,null,null
https://assos.bordeaux.fr/association/detail/579,ART SAINT AUG - A.S.A.,"Permettre à tous la pratique d'activités artistiques, proposer un cadre convivial de proximité pour des animations culturelles relatives aux arts plastiques, établir un réseau entre les artistes",68 RUE EMILE COMBES                                                                                                ,33000,05 40 05 33 15,null,www.ateliermary.fr,Culture
https://assos.bordeaux.fr/association/detail/1232,LES TITANS,"Les Titans sont une association loi 1901 basée à Bordeaux ayant pour but l'enseignement et la pratique de l'improvisation théâtrale sous toutes ses formes, et privilégiant les rencontres avec les autres ligues. Les ateliers sont tous les jeudis soirs de 20h30 à 23h aux Chartrons, au 40 rue Joséphine.",40 rue Joséphine                                                                                                ,33000,06 03 69 26 33,Roland Recouly,improtitans.e-monsite.com,Culture
https://assos.bordeaux.fr/association/detail/1415,DU VENT DANS LES ARBRES,L'association Du Vent dans les arbres propose des cours et ateliers de Qi Gong et arts énergétiques internes chinois pour adultes et enfants.,"8, rue Borie                                                                                                ",33300,06 84 08 48 91,null,www.duventdanslesarbres.org,"Santé, bien-être"
https://assos.bordeaux.fr/association/detail/1804,ECOLE CHINOISE DE BORDEAUX,,pas d'adresse,,,null,null,null
https://assos.bordeaux.fr/association/detail/590,ASSOCIATION POURQUOIPAS 33 - APQP,"Pourquoipas 33 est une association culturelle qui à travers les projets et événements qu’elle organise, s’appuie sur les valeurs de fraternité, de citoyenneté, d’égalité et de laïcité. Elle est partie prenante de la Fédération Française pour l’UNESCO et mène des actions pour partager ses idéaux.",153 rue Georges Mandel                                                                                                ,33000,06 62 23 26 70,Jean-Pierre Lefèvre,null,"Vivre ensemble, vie quotidienne"
https://assos.bordeaux.fr/association/detail/566,EKLEKTIKK,"Booster la qualité de vie par la solidarité 
Booster l'emploi et la création d'entreprise face aux difficultés pour trouver un emploi en 15 jours à Bordeaux et une qualité de vie dans la très belle ville de Bordeaux.",23 cours de quebec                                  A 319    Bat CA                                                                                                              ,33300,06 60 16 81 37,null,null,"Emploi, insertion professionnelle, formation"
https://assos.bordeaux.fr/association/detail/1725,ADRA FRANCE - ANTENNE DE BORDEAUX - ADRA,"Nous sommes une antenne locale de l'association ADRA France.
Nous accompagnons des personnes isolées ou en situation de précarité à travers des actions personnalisées.
Nous mettons en place des actions et projets en faveur des réfugiés (cours de français, démarches administratives, intégrations sociales et culturelles).
Notre slogan : ""Changer le monde, une vie à la fois""",Rue du Dr Roux                                                                                                ,33000,06 49 09 71 65,null,adra.fr,"Entraide, solidarité, humanitaire"
https://assos.bordeaux.fr/association/detail/1263,INSTITUT DES AFRIQUES - IDAF,"L'Institut des Afriques vise à porter un regard nouveau sur les mondes africains à travers les créations contemporaines et les savoirs. Son action phare est l'organisation chaque année de la manifestation ""Semaine des Afriques"" sur la métropole bordelaise, qui est un espace de créations, diversité culturelle, rencontres artistiques, ouvert sur le monde d'aujourd'hui et la pluralité des mondes africains.",11 allée Ausone                                 Domaine Universitaire                                                                                                             ,33607,05 56 84 41 05,René  Otayek,institutdesafriques.org,"Vivre ensemble, vie quotidienne"
https://assos.bordeaux.fr/association/detail/1121,CENTRE D'ANIMATION BORDEAUX LAC - ASSOCIATION DES CENTRES D'ANIMATION DE QUARTIERS DE BORDEAUX - ACAQB,"L’association des centres d’animation de quartiers de Bordeaux (ACAQB), se compose aujourd’hui de 11 centres d’animation à vocation sociale et culturelle répartis sur les deux rives de Bordeaux. Le centre d’animation Bordeaux Lac propose un large panel d’activités et anime un pôle d’excellence environnement notamment grâce à la ferme pédagogique.",79 cours des Aubiers                                                                                                 ,33300,05 56 50 61 36,Jean-Charles Palau,null,"Vivre ensemble, vie quotidienne"
https://assos.bordeaux.fr/association/detail/1007,LE PAIN DE L'AMITIÉ,Apporter une aide matérielle et morale aux personnes en difficulté et créer toute activité qui favorise leur insertion économique et sociale.,43 rue Saint Nicolas                                                                                                ,33800,05 57 95 66 21,null,null,"Entraide, solidarité, humanitaire"
https://assos.bordeaux.fr/association/detail/1772,YOGA SPIRIT BORDEAUX - YSB,,pas d'adresse,,,null,null,null
https://assos.bordeaux.fr/association/detail/835,OPTIMISATION MÉMOIRE - OP,"Elle a pour but de: 

Créer et Conserver un lien social pour vaincre l'isolement des personnes:

-	Retraitées et isolées ; améliorer et maintenir l'autonomie dans la vie quotidienne ; retarder le placement grâce à un maintien à domicile.
-	Jeunes en rupture scolaire et/ou rupture sociale et/ou à la recherche d’un emploi, favoriser l’insertion professionnelle et la réussite scolaire
-	Adultes, en activité ou demandeur",52 rue Eugène Le Roy                                                                                                ,33800,06 61 72 61 46,Isabelle Veinhard,www.optimemoire.fr,"Santé, bien-être"
https://assos.bordeaux.fr/association/detail/1170,VOICES AND MUSIC PRODUCTION - BXGOSPELACADEMY,"Soutenir, contribuer, développer et participer à une démarche artistique générale, auprès de tout public, orientée notamment vers la musique et le chant ; produire, diffuser et promouvoir le spectacle vivant et organiser des prestations événementielles, dans le cadre de manifestations culturelles et pédagogiques, en lien avec son objet.
Il s’agit d’une démarche globale.","26, rue Marius Olivier                                                                                                ",33130,06 03 30 12 02,null,bordeaux-gospel-academy.com,Culture
https://assos.bordeaux.fr/association/detail/1731,GROUPE D'ENTRAIDE MUTUELLE LES NEUROFESTIFS 33 - GEM,"Association a pour but d'assurer le fonctionnement d'un Groupe d'Entraide Mutuelle (GEM), situé sur Bordeaux. Tel que prévu par la loi du 11 février 2005, son objectif est de promouvoir tout type d'actions en faveur des besoins des adultes handicapés suite à une lésion cérébrale acquise.",29 rue des sablières                                                                                                ,33800,05 56 94 11 32,null,null,"Entraide, solidarité, humanitaire"
https://assos.bordeaux.fr/association/detail/1168,LA CASE,"Rencontrer et prendre en charge toute personne présentant une problématique d'addiction et toute personne en situation de prostitution, dans leurs dimensions médicales, sociales et psychologiques; réduire les risques et les dommages associés à l'usage de drogues et à la pratique prostitutionnelle; et favoriser l'accès aux droits fondamentaux.",36-38 rue Saint-James                                                                                                ,33000,05 56 92 51 89,null,www.lacase.eu,"Santé, bien-être"
https://assos.bordeaux.fr/association/detail/757,FISH & SHOES,"Créer, promouvoir et développer des activités artistiques sur le territoire",65 rue Elie Gintrac                                                                                                 ,33000,06 73 14 39 72,null,,Culture
https://assos.bordeaux.fr/association/detail/1497,W845968857 - W845968857,dazdazdzad,10 RUE JEAN CARMET                                                                                                ,33600,,null,null,null
https://assos.bordeaux.fr/association/detail/991,ASSOCIATION AFRICAN SOLIDARITE FRANCE - AASF,,pas d'adresse,,,null,null,null
