Année,nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
2016,GROUPEMENT D'INTERET PUBLIC DE LA REUSSITE EDUCATIVE DE BORDEAUX,35000,
2016,QUATUORS A BORDEAUX,35000,"Communication, locaux, matériel pour manifestations"
2016,FORUM AVIGNON,33251,
2016,TRANSFERT,32987.75,"Communication, locaux, matériel pour manifestations"
2016,CIE LE SOLEIL BLEU,32500,
2016,PROMO-FEMMES SAINT MICHEL,31500,Locaux
2016,ENSEMBLE PYGMALION,31000,
2016,BANQUE ALIMENTAIRE DE BORDEAUX ET DE LA GIRONDE,30500,"Locaux, matériel pour manifestations"
2016,ANPAA - ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET EN ADDICTOLOGIE,30000,Locaux
2016,BORDEAUX GIRONDE HOCKEY SUR GLACE,30000,
2016,CENTRE D'ACCUEIL D'INFORMATION ET D'ORIENTATION - CAIO,30000,Matériel pour manifestations
2016,DIACONAT DE BORDEAUX,30000,Locaux
2016,RESEAU AQUITAIN DEVELOPPEMENT SOLIDARITE INTERNATIONALE,29985,
2016,LES JARDINS D'AUJOURD'HUI,29750,"Locaux, matériel pour manifestations"
2016,MASCARETS,29000,"Locaux, matériel pour manifestations"
2016,URBAN VIBRATIONS SCHOOL,28500,"Locaux, matériel pour manifestations"
2016,BORDEAUX SPORTS DE GLACE,28000,Locaux
2016,COLLECTIF DE RESSOURCES BORDEAUX-NORD,28000,Matériel pour manifestations
2016,ASSOCIATION SPORTIVE CHARLES MARTIN - USEP,27778,
2016,ASSOCIATION FAMILIALE LAIQUE DE BORDEAUX NORD - AFL,27500,"Locaux, matériel pour manifestations"
2016,ECLATS,27000,Locaux
2016,ORGAN PHANTOM,27000,"Locaux, matériel pour manifestations, matériel"
2016,ASSOCIATION POUR UNE EDUCATION BUISSONNIERE,25062,
2016,INSTITUT FRANCAIS,25000,
2016,TRAFIC,25000,
2016,"IPPO (INFORMATION, PREVENTION, PROXIMITE, ORIENTATION)",24500,Locaux
2016,COMPAGNIE REVOLUTION DANCE,23000,
2016,L'EPICERIE,23000,Locaux
2016,LE SPORTING-CLUB DE LA BASTIDIENNE ,23000,"Locaux, équipements sportifs, matériel pour"
2016,ZEBRA 3,23000,Locaux
2016,LE KIOSQUE CULTURE,22500,Locaux
2016,OUVRE LE CHIEN (DANS L'IMMEDIAT),22500,
2016,ACADEMIE YOUNUS ,22000,"Locaux, équipements sportifs, matériel pour"
2016,ACINQBYS_ESPACE 29 A5BIS,22000,
2016,LA BOITE A JOUER,22000,
2016,RACING CLUB DE BORDEAUX METROPOLE,22000,"Equipements sportifs, matériel pour manifestations"
2016,BORDEAUX ENTREPRENEURS,21600,Locaux
2016,VENUS,21500,
2016,POLE MAGNETIC,21350,"Locaux, matériel pour manifestations"
2016,AQUINUM - ASSOCIATION DES PROFESSIONNELS DU NUMERIQUE EN AQUITAINE,21000,"Locaux, matériel pour manifestations"
2016,BORDEAUX SERVICE SOLIDARITE,21000,
2016,INCUBATEUR AU FEMININ BORDEAUX AQUITAINE,21000,
2016,O SOL DE PORTUGAL,20686,
2016,CENTRE JEAN VIGO EVENEMENTS,20500,"Communication, locaux, matériel pour manifestations"
2016,COMITE D'ETUDE ET D'INFORMATION SUR DROGUE (PREV. ET TRAITEMENT TOXICOMANIES ET AUTRES ADDICTIONS),20500,"Locaux, équipements sportifs, matériel pour"
2016,AIM ACTIONS INTER MEDIATION,20060,
2016,UNION SPORTIVE JEUNES DE SAINT-AUGUSTIN - CLUB PYRENEES-AQUITAINE (US JSA-CPA),19500,Matériel pour manifestations
2016,9-33,19000,"Communication, locaux"
2016,CIRQUE ECLAIR ECOLE CIRQUE D'AQUITAINE,19000,
2016,SURF INSERTION,19000,
2016,LE KFE DES FAMILLES,18800,Matériel pour manifestations
2016,MONOQUINI,17528,
