date,title,guest,link,transcript_file,word_count,slug,has_transcript
2025-08-14,Sara Beykpour: The Next Chapter in News Aggregation,Sara Beykpour,https://shows.acast.com/newsroomrobots/episodes/sara-beykpour-the-next-chapter-in-news-aggregation,2025-08-14 - Sara Beykpour The Next Chapter in News Aggregation.txt,9936,2025-08-14-sara-beykpour-the-next-chapter-in-news-aggregation,True
2025-09-08,Ivar Krustok: How Estonia’s Media Giant Builds AI That Actually Works,Ivar Krustok,https://shows.acast.com/newsroomrobots/episodes/ivar-krustok-delfi-meedia-ai,2025-09-08 - Ivar Krustok How Estonia’s Media Giant Builds AI That Actually Works.txt,12188,2025-09-08-ivar-krustok-how-estonias-media-giant-builds-ai-that-actuall,True
2025-09-08,Djordje Padejski: Why AI Literacy Belongs at the Core of Journalism Education,Djordje Padejski,https://shows.acast.com/newsroomrobots/episodes/djordje-padejski-why-ai-literacy-belongs-at-the-core-of-jour,2025-09-08 - Djordje Padejski Why AI Literacy Belongs at the Core of Journalism Education.txt,8266,2025-09-08-djordje-padejski-why-ai-literacy-belongs-at-the-core-of-jour,True
2025-09-23,Ludwig Siegele: Inside The Economist’s AI Playbook,Ludwig Siegele,https://www.newsroomrobots.com/,2025-09-23 - Ludwig Siegele Inside The Economist’s AI Playbook.txt,8280,2025-09-23-ludwig-siegele-inside-the-economists-ai-playbook,True
2025-10-08,Vilas Dhar: Why the Future of Journalism Is Still Human,Vilas Dhar,https://www.newsroomrobots.com/,2025-10-08 - Vilas Dhar Why the Future of Journalism Is Still Human.txt,9005,2025-10-08-vilas-dhar-why-the-future-of-journalism-is-still-human,True
2025-11-15,Olle Zacharison: How BBC News is Shaping its AI Strategy for the Next Era of Journalism,Olle Zacharison,https://www.newsroomrobots.com/p/how-the-bbc-is-shaping-its-ai-strategy,2025-11-15 - Olle Zacharison How BBC News is Shaping its AI Strategy for the Next Era of Journalism.txt,10928,2025-11-15-olle-zacharison-how-bbc-news-is-shaping-its-ai-strategy-for-,True
2025-11-26,Markus Franz: How Germany's Ippen Digital Is Prototyping the AI-Powered Newsroom of the Future,Markus Franz,https://shows.acast.com/newsroomrobots/episodes/markus-franz-how-germanys-ippen-digital-is-prototyping-the-a,2025-11-26 - Markus Franz How Germany's Ippen Digital Is Prototyping the AI-Powered Newsroom of the Future.txt,8341,2025-11-26-markus-franz-how-germanys-ippen-digital-is-prototyping-the-a,True
2025-12-15,Tav Klitgaard: How Zetland turned a newsroom problem into a global AI business,Tav Klitgaard,https://www.newsroomrobots.com/,2025-12-15 - Tav Klitgaard How Zetland turned a newsroom problem into a global AI business.txt,7579,2025-12-15-tav-klitgaard-how-zetland-turned-a-newsroom-problem-into-a-g,True
2025-12-19,"Jim Friedlich, David Chivers & Matt Boggie: How the Lenfest AI Collaborative placed AI engineers in 10 newsrooms","Jim Friedlich, David Chivers & Matt Boggie",https://shows.acast.com/newsroomrobots/episodes/how-the-lenfest-ai-collaborative-placed-ai-engineers-in-10-n,"2025-12-19 - Jim Friedlich, David Chivers & Matt Boggie How the Lenfest AI Collaborative placed AI engineers in 10 newsrooms.txt",8450,2025-12-19-jim-friedlich-david-chivers-matt-boggie-how-the-lenfest-ai-c,True
2026-01-01,"Francesco Marconi & Scott Austin: 2025 Year in Review, What Actually Changed in AI and Media",Francesco Marconi & Scott Austin,https://shows.acast.com/newsroomrobots/episodes/francesco-marconi-scott-austin-2025-year-in-review-what-actu,"2026-01-01 - Francesco Marconi & Scott Austin 2025 Year in Review, What Actually Changed in AI and Media.txt",12249,2026-01-01-francesco-marconi-scott-austin-2025-year-in-review-what-actu,True
2026-01-10,Alessandro Alviani & Fabian Heckenberger: How Germany’s Süddeutsche Zeitung is building AI products that audience can trust,Alessandro Alviani & Fabian Heckenberger,https://shows.acast.com/newsroomrobots/episodes/alessandro-alviani-fabian-heckenberger-how-germanys-suddeuts,2026-01-10 - Alessandro Alviani & Fabian Heckenberger How Germany’s Süddeutsche Zeitung is building AI products that audience can trust.txt,9159,2026-01-10-alessandro-alviani-fabian-heckenberger-how-germanys-sddeutsc,True
2026-01-27,"Melissa Bell, Aron Pilhofer, Mark Chonofsky & David Chivers: Chicago Public Media on Building AI Tools That Serve the Audience","Melissa Bell, Aron Pilhofer, Mark Chonofsky & David Chivers",https://shows.acast.com/newsroomrobots/episodes/melissa-bell-aron-pilhofer-david-chivers-chicagopublicmedia,"2026-01-27 - Melissa Bell, Aron Pilhofer, Mark Chonofsky & David Chivers Chicago Public Media on Building AI Tools That Serve the Audience.txt",8272,2026-01-27-melissa-bell-aron-pilhofer-mark-chonofsky-david-chivers-chic,True
