Groupe ou société de presse;Aides directes (1) (en €);Dont aides au pluralisme  (en €);Dont aide au portage - Titres  (en €);Dont aide au portage - Réseaux  (en €);Dont FSDP  (en €);Dont FSEIP (programmes d'incubation);Aide filière (aide à la distribution) (2) (en €);Aide aux tiers (modernisation sociale) (3) (en €);Total des aides (1) + (2) + (3) (en €);Année
LES EDITIONS DES FEDERES (LA MARSEILLAISE);633074;58461;574613;;;;;;633074;2016
NICE-MATIN;396203;;286807;109396;;;;146164;542367;2016
NOUVELLE REPUBLIQUE DU CENTRE OUEST;597175;;515777;81398;;;;;597175;2016
SFR PRESSE;5548829;2916897;2039978;;591954;;1488600;;7037429;2016
SIFIJA (JEUNE AFRIQUE);162644;;;;162644;;;;162644;2016
SOCIETE NOUVELLE DU JOURNAL L'HUMANITE;3399647;3085279;281001;;33367;;289800;;3689447;2016
EDIFA SOCIETE D'EDITIONS POUR LA FAMILLE;281604;281604;;;;;;;281604;2017
GROUPE MONITEUR;307141;;;;307141;;;;307141;2017
LA PROVENCE;740740;;399306;73117;268317;;;15071;755811;2017
NOUVELLE REPUBLIQUE DU CENTRE OUEST;779771;;558939;107162;113670;;;;779771;2017
PRISMA MEDIA (VSD);281604;281604;;;;;;;281604;2017
BAYARD PRESSE;4516517;;;;;;355632;;4872149;2019
GROUPE PERDRIEL;401070;;;;;;;;401070;2019
GROUPE SUD OUEST;2946464;;;;;;;;2946464;2019
SNC L'EQUIPE;666412;;;;;;;;666412;2019
SOCIETE D'EXPLOITATION DE L'HEBDOMADAIRE LE POINT;457003;;;;;;;;457003;2019
SOCIETE EDITRICE DU MONDE;1696588;;;;;;4624189;;6320777;2019
GROUPE HERSANT MEDIA;128442;;;;;;;;128442;2018
LAGARDERE ACTIVE;581221;;;;;;1591116;;2172337;2018
SFA PAR (L'OBS);250115;;;;;;;;250115;2018
SNC L'EQUIPE;855028;;;;;;;32708;887736;2018
