ARTISANS DU MONDE BORDEAUX,"0,00",Matériel pour manifestations
ARTS CROISES,"0,00",Locaux
ARTS ET COMMUNICATION DU MONDE - ACM,"0,00","Locaux, matériel pour manifestations"
ARTS ET LETTRES DE FRANCE ASSOCIATION CULTURELLE,"0,00",Locaux
INTERNATIONALE,,
ARTS ET SCIENCES,"0,00",Locaux
ARTS MARTIAUX ET BIEN ETRE,"0,00","Locaux, équipements sportifs"
ARTS MARTIAUX SHAOLIN BORDEAUX,"1 000,00",Equipements sportifs
ARTS MARTIAUX TRADITIONNELS BORDELAIS,"0,00",Equipements sportifs
"ASAD DE BORDEAUX, ASSOCIATION SERVICES D’AIDE A DOMICILE","0,00",Locaux
DE BORDEAUX,,
ASC BNP PARIBAS BX TT,"0,00",Equipements sportifs
ASPER 33,"0,00",Locaux
ASPOM JUDO CLUB,"4 850,00",
"ASSOCIATION ""LA BOULANGERIE""","0,00","Locaux, matériel pour manifestations"
ASSOCIATION AFRICAN SOLIDARITE FRANCE (AASF),"0,00",Locaux
ASSOCIATION ALCHIMIST,"15 280,00",
ASSOCIATION AMITIE LAO MEKONG DE LA GIRONDE,"0,00",Locaux
ASSOCIATION AQUITAINE DE QUILLES FINLANDAISES (QUIF),"0,00",Locaux
ASSOCIATION ARTS & RENCONTRES,"0,00",Locaux
ASSOCIATION AUTONOME DES PARENTS D'ELEVES DE BORDEAUX :,"0,00",Locaux
ECOLES JEAN COCTEAU,,
ASSOCIATION BI-IZARRAK (LES DEUX ETOILES),"0,00",Locaux
ASSOCIATION BORDEAUX - USA,"0,00",Matériel pour manifestations
ASSOCIATION BORDEAUX CULTURE GRAPPLING (ABC GRAPPLING),"0,00",Equipements sportifs
ASSOCIATION BORDEAUX GAMES,"3 220,00",
ASSOCIATION BORDEAUX QUINCONCES,"0,00","Communication, matériel pour manifestations"
ASSOCIATION BORDEAUX-COMPOSTELLE HOSPITALITE,"3 500,00",Locaux
SAINT-JACQUES,,
ASSOCIATION BORDEAUX-TANESSE,"0,00",Matériel pour manifestations
ASSOCIATION BORDELAISE DE TAEKWONDO INTERNATIONAL,"0,00",Equipements sportifs
ATLANTICA,,
ASSOCIATION BRINS D'EVEIL,"532 800,00",
ASSOCIATION BULGARE CULTURELLE - ABC,"0,00",Locaux
ASSOCIATION COEXISTER,"2 000,00",Locaux
ASSOCIATION COMUNIDAD,"0,00",Locaux
ASSOCIATION CONTRE LA TUBERCULOSE ET LES MALADIES,"0,00","Locaux, matériel pour manifestations"
ENDEMIQUES - ACTUME,,
ASSOCIATION COOPERATIVE DE L'INSTITUT UNIVERSITAIRE DE,"0,00",Locaux
TECHNOLOGIE,,
ASSOCIATION CREMATISTE DE LA GIRONDE,"0,00",Matériel pour manifestations
ASSOCIATION CULTURE ET MUSIQUE DE L'ESTUAIRE - ACME,"0,00",Matériel pour manifestations
ASSOCIATION CULTURELLE DES ALEVIS DE GIRONDE,"0,00",Locaux
ASSOCIATION CULTURELLE DES ELEVES DU LYCEE MONTESQUIEU -,"0,00",Locaux
ACELM,,
ASSOCIATION CULTURELLE DES KABYLES DE BORDEAUX (ACKB),"0,00",Locaux
ASSOCIATION CULTURELLE DU MARCHE DES CHARTRONS,"5 500,00",Locaux
ASSOCIATION D'AQUITAINE DES AMIS D'ALGERIANIE,"0,00",Locaux
ASSOCIATION DAVID ET JONATHAN,"0,00",Locaux
ASSOCIATION DE CARDIOLOGIE D'AQUITAINE,"0,00",Matériel pour manifestations
ASSOCIATION DE DEFENSE DES INTERETS DU QUARTIER DE,"300,00",Locaux
BACALAN - ADIQ,,
ASSOCIATION DE DEFENSE DES MUSIQUES ALTERNATIVES EN,"50 580,00","Communication, matériel pour manifestations"
AQUITAINE - ADMAA (ALLEZ LES FILLES),,
ASSOCIATION DE DEFENSE DES RESIDENTS DE LA GALERIE,"0,00",Locaux
"(ADREGA)",,
ASSOCIATION DE DEVELOPPEMENT NATUREL (A.D.N.),"0,00",Locaux
ASSOCIATION DE FAMILLES DE TRAUMATISES CRANIENS AVENIR -,"0,00","Locaux, matériel pour manifestations"
AFTC AVENIR,,
ASSOCIATION DE GESTION DES CENTRES PSYCHANALYTIQUES DE,"4 000,00",Locaux
CONSULTATIONS ET DE TRAITEMENT (CPCT),,
ASSOCIATION DE GESTION ET D'ANIMATION DES CRECHES C.S.F.,"512 833,33",
"(AGEAC/CSF)",,
ASSOCIATION DE L'AIDE FAMILIALE POPULAIRE - U.D.C.S.F.,"0,00",Locaux
ASSOCIATION DE L'ECOLE COREENNE DE BORDEAUX - AECB,"0,00",Locaux
ASSOCIATION DE LA FONDATION ETUDIANTE POUR LA VILLE - AFEV,"0,00",Locaux
ASSOCIATION DE LA RUE NOTRE DAME DES CHARTRONS,"2 064,00","Locaux, matériel pour manifestations"
ASSOCIATION DE LOCATAIRES SEM-LM,"0,00",Locaux
ASSOCIATION DE MEDECINE PHYSIQUE ET READAPTATION,"0,00",Locaux
D'AQUITAINE (AMPRA),,
ASSOCIATION DE PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE,"0,00",Locaux
SAINT-MICHEL/SAINT-GENES,,
ASSOCIATION DE PATIENTS POUR PREVENTION TRAITEMENT LUTTE,"0,00",Locaux
CONTRE MALADIE CHRONIQUE L'OBESITE (ALOA),,
ASSOCIATION DE PREFIGURATION DE LA COOPERATIVE DE,"0,00",Locaux
PRESTATAIRES RESPONSABLES SUD-OUEST,,
ASSOCIATION DE PREFIGURATION D’UNE PLATEFORME,"0,00",Locaux
D’AQUITAINE POUR LE COMMERCE EQUITABLE (LA PLACE),,
ASSOCIATION DE RIVERAINS BASTIDE-ID,"0,00",Locaux
ASSOCIATION DE SOLIDARITE AVEC TOUS LES IMMIGRES -,"4 000,00",Locaux
BORDEAUX (ASTI BORDEAUX),,
ASSOCIATION DE SOLIDARITE BORDEAUX,"0,00",Locaux
ASSOCIATION DE SOPHROLOGIE EXISTENTIELLE DE BORDEAUX,"0,00",Locaux
ASSOCIATION DE SOUTIEN AUX INVENTIONS LIBRES (ASIL),"15 500,00","Communication, locaux, matériel pour manifestations"
ASSOCIATION DEFENSE DES RESIDENTS DES QUARTIERS,"600,00",
BORDEAUX METROPOLE,,
ASSOCIATION DEPART. AMIS ET PARENTS DE PERS. HANDICAPEES,"0,00",Matériel pour manifestations
MENTALES - LES PAPILLONS BLANCS (ADAPEI),,
ASSOCIATION DEPARTEMENTALE APAJH DE LA GIRONDE,"0,00",Locaux
ASSOCIATION DEPARTEMENTALE DE L'OFFICE CENTRAL DE LA,"0,00",Locaux
COOPERATION A L'ECOLE DE LA GIRONDE - AD-OCCE,,
ASSOCIATION DEPARTEMENTALE DES CONJOINTS SURVIVANTS ET,"0,00",Locaux
PARENTS D'ORPHELINS DE LA GIRONDE - FAVEC 33,,
ASSOCIATION DEPARTEMENTALE DES PARENTS D'ELEVES DE,"0,00",Locaux
L'ENSEIGNEMENT PUBLIC DE LA GIRONDE - PEEP AD 33,,
ASSOCIATION DEPARTEMENTALE POUR INFORMATION AU,"3 030,00",
LOGEMENT 33 - ADIL33,,
ASSOCIATION DES AMIS D'ELIANE LAVAIL,"0,00",Locaux
ASSOCIATION DES AUDITEURS INSTITUT HAUTES ETUDES DEFENSE,"1 000,00",Locaux
NATIONALE REGION AQUITAINE - AQUI IHEDN,,
ASSOCIATION DES BROCANTEURS DES CHARTRONS - ABC,"8 907,00",Matériel pour manifestations
ASSOCIATION DES CENTRES D'ANIMATION DE QUARTIERS DE,"8 060 927,50","Communication, locaux, équipements sportifs,"
BORDEAUX - ACAQB,,matériel pour manifestations
ASSOCIATION DES CITES DU SECOURS CATHOLIQUE - DELEGATION,"0,00",Locaux
BORDEAUX,,
"ASSOCIATION DES COMMERCANTS ""BARRIERE DE PESSAC""","8 400,00",
BORDEAUX-TALENCE,,
ASSOCIATION DES COMMERCANTS BORDEAUX RIVE DROITE (BRD),"0,00",Locaux
ASSOCIATION DES COMMERCANTS CAUDERAN CENTRE,"0,00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS DE CAUDERAN SAINT AMAND,"9 400,00",
ASSOCIATION DES COMMERCANTS DE LA BARRIERE JUDAIQUE,"4 880,00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS DE LA RUE DES REMPARTS,"4 420,00",
ASSOCIATION DES COMMERCANTS DE LA RUE JJ ROUSSEAU,"2 055,00",
ASSOCIATION DES COMMERCANTS DE LA RUE SAINT-SERNIN,"2 150,00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS DE SAINT-AUGUSTIN,"7 475,00","Locaux, matériel pour manifestations"
ASSOCIATION DES COMMERCANTS DU CENTRE COMMERCIAL DES,"920,00",
BASTIDES,,
ASSOCIATION DES COMMERCANTS DU CENTRE COMMERCIAL,"4 700,00",
MERIADECK,,
ASSOCIATION DES COMMERCANTS DU GRAND PARC,"5 688,00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS ET ARTISANS DU QUARTIER,"1 500,00",
REPUBLIQUE,,
ASSOCIATION DES COMMERCANTS ET ARTISANS DU QUARTIER,"0,00","Locaux, matériel pour manifestations"
SAINT MICHEL,,
ASSOCIATION DES COMMERCANTS ET ARTISANS DU QUARTIER,"0,00",Matériel pour manifestations
STEHELIN,,
ASSOCIATION DES COMMERCANTS ET ARTISANS LES BERGES DU,"3 000,00",Matériel pour manifestations
LAC,,
ASSOCIATION DES COMMERCANTS ET PROFESSIONNELS DE L'ART,"0,00",Matériel pour manifestations
DE LA RUE BOUFFARD,,
ASSOCIATION DES COMMERCANTS ET RIVERAINS DU QUARTIER,"11 000,00",Matériel pour manifestations
VICTOIRE,,
ASSOCIATION DES COMMERCANTS ORNANO - GAVINIES - St VICTOR,"1 500,00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS RUE VOLTAIRE,"2 670,00",
ASSOCIATION DES COMMERÇANTS DU QUARTIER SAINT MICHEL,"4 000,00",
AUTOUR DE LA FLECHE,,
ASSOCIATION DES COREENS DE BORDEAUX (ACB),"0,00","Locaux, matériel pour manifestations"
ASSOCIATION DES DAMES DU CALVAIRE DE BORDEAUX - MAISON,"0,00",Locaux
DE SANTE MARIE GALENE,,
ASSOCIATION DES DONNEURS DE VOIX,"0,00",Locaux
ASSOCIATION DES ECLAIREUSES ET ECLAIREURS DE FRANCE -,"4 072,00",Matériel pour manifestations
REGION AQUITAINE,,
ASSOCIATION DES ELEVES AVOCATS ALIENOR 2015 - ADEAA,"0,00",Locaux
ASSOCIATION DES ELEVES INGENIEURS DE L'ECOLE NATIONALE,"0,00",Matériel pour manifestations
SUPERIEURE DES ARTS ET METIERS - AE ENSAM,,
ASSOCIATION DES ELEVES-AVOCATS ALIENOR 2016,"0,00",Locaux
ASSOCIATION DES ETUDIANTS EN PSYCHOLOGIE DU TRAVAIL ET,"0,00",Locaux
ERGONOMIE DES SYSTEMES,,
ASSOCIATION DES ETUDIANTS REUNIONNAIS A BORDEAUX - AERB,"0,00",Locaux
ASSOCIATION DES EXPLOITANTS DU CENTRE COMMERCIAL QUAI,"4 400,00",
DES MARQUES,,
ASSOCIATION DES FAMILLES D'ENFANTS DE LA POSTE ET,"0,00",Locaux
D'ORANGE - AFEH,,
ASSOCIATION DES GROUPES BIBLIQUES ET UNIVERSITAIRES DE,"0,00",Locaux
FRANCE - AGBUF-GBU,,
ASSOCIATION DES GUIDES INTERPRETES ET CONFERENCIERS,"0,00",Locaux
D'AQUITAINE - AGICA,,
ASSOCIATION DES MAIRES DE LA GIRONDE,"0,00",Matériel pour manifestations
ASSOCIATION DES MEMBRES LA LEGION D'HONNEUR DECORES AU,"500,00",
PERIL DE LEUR VIE SECTION AQUITAINE OUEST,,
ASSOCIATION DES MUSULMANS DE BORDEAUX NORD (A.M.B.N.),"0,00",Matériel pour manifestations
ASSOCIATION DES MUSULMANS DE LA GIRONDE,"0,00",Locaux
ASSOCIATION DES PARALYSES DE FRANCE - APF,"3 200,00",Matériel pour manifestations
ASSOCIATION DES PARENTS D'ELEVES DE L'ENSEIGNEMENT PUBLIC,"0,00",Locaux
DU LYCEE CAMILLE JULLIAN,,
ASSOCIATION DES PROFESSIONNELS AQUITAINS DE LA,"0,00",Locaux
COMMUNICATION (APACOM),,
ASSOCIATION DES PSYCHOLOGUES ETUDIANTS (APE),"400,00",Matériel pour manifestations
ASSOCIATION DES PSYCHOMOTRICIENS DE LA GIRONDE,"0,00",Locaux
ASSOCIATION DES RESIDENCES DE L'ILOT BONNAC,"0,00",Locaux
ASSOCIATION DES RETRAITES IRSEA D'AQUITAINE (A.R.I.A.).,"0,00","Locaux, matériel pour manifestations"
ASSOCIATION DES RIVERAINS DE LA PLACE MITCHELL,"0,00",Matériel pour manifestations
ASSOCIATION DES RIVERAINS DU QUARTIER ORNANO-GAVINIES,"0,00",Matériel pour manifestations
ASSOCIATION DES STAGIAIRES ET ETUDIANTS CAMEROUNAIS DE,"0,00",Locaux
BORDEAUX (ASECB),,
ASSOCIATION DES ŒUVRES GIRONDINES DE PROTECTION DE,"0,00",Locaux
L'ENFANCE,,
ASSOCIATION DU COMITE DES OEUVRES SOCIALES DES,"380 000,00",Matériel pour manifestations
MUNICIPAUX DE BORDEAUX - ACOSMB,,
ASSOCIATION DU LIEN INTERCULTUREL FAMILIAL ET SOCIAL - ALIFS,"37 000,00","Locaux, matériel pour manifestations"
ASSOCIATION DU PARC D'ACTIVITE DE BORDEAUX NORD,"2 800,00",
ASSOCIATION DU PATRIMOINE ISRAELITE D'AQUITAINE,"5 000,00",
ASSOCIATION DU PERSONNEL DE L'OPERA NATIONAL DE,"0,00","Locaux, équipements sportifs"
BORDEAUX,,
ASSOCIATION DU SOUVENIR DES FUSILLES DE SOUGE,"0,00","Locaux, matériel pour manifestations"
ASSOCIATION DU VELO TOUTES VIGNES (AVTV),"0,00",Matériel pour manifestations
ASSOCIATION ECOPOLES,"0,00",Locaux
